Report_Num,Year,Occur_Date,Weekday,Location,Neighborho,Latitude,Longitude,GEOID,NAME
202610545,2020,9/17/2020,Thursday,1720 MARTIN L KING JR DR SW,Mozley Park,33.75083,-84.44341,13121,Fulton
202610180,2020,9/17/2020,Thursday,138 LAMAR AVE NW,Dixie Hills,33.75506,-84.45935,13121,Fulton
202630013,2020,9/18/2020,Friday,2143 PEACHTREE RD NE,,33.81262,-84.39195,13121,Fulton
202621717,2020,9/18/2020,Friday,2052 RUTH STREET NW,Grove Park,33.78558,-84.45454,13121,Fulton
202631419,2020,9/18/2020,Friday,3297 CASCADE RD SW,Magnum Manor,33.72189,-84.49606,13121,Fulton
202630978,2020,9/19/2020,Saturday,2980 JONESBORO RD SE,South River Gardens,33.67339,-84.37144,13121,Fulton
202630433,2020,9/19/2020,Saturday,150 10TH ST NE,Midtown,33.78185,-84.38199,13121,Fulton
202630366,2020,9/19/2020,Saturday,2685 METROPOLITAN PKWY SW,Perkerson,33.68274,-84.40902,13121,Fulton
202630483,2020,9/19/2020,Saturday,266 SCIPLE TER NW,Vine City,33.76194,-84.41534,13121,Fulton
202630557,2020,9/19/2020,Saturday,1276 JOSEPH E BOONE BLVD NW,Bankhead,33.76398,-84.42895,13121,Fulton
202641773,2020,9/20/2020,Sunday,400 LUCKIE ST NW,Downtown,33.76724,-84.39807,13121,Fulton
202641606,2020,9/20/2020,Sunday,4004 BOULDER PARK DR SW,Wildwood (NPU-H),33.74723,-84.51887,13121,Fulton
202651358,2020,9/21/2020,Monday,301 CONNULLLLY ST SE,Capitol Gateway,33.74637,-84.38167,13121,Fulton
